2026-05-31 21:10:27.562 [info] Extension host with pid 39883 started
2026-05-31 21:10:27.629 [info] ExtensionService#_doActivateExtension vscode.github-authentication, startup: false, activationEvent: 'onAuthenticationRequest:github'
2026-05-31 21:10:27.646 [info] ExtensionService#_doActivateExtension vscode.emmet, startup: false, activationEvent: 'onLanguage'
2026-05-31 21:10:27.658 [info] ExtensionService#_doActivateExtension vscode.configuration-editing, startup: false, activationEvent: 'onLanguage:json'
2026-05-31 21:10:27.664 [info] ExtensionService#_doActivateExtension vscode.extension-editing, startup: false, activationEvent: 'onLanguage:json'
2026-05-31 21:10:27.675 [info] ExtensionService#_doActivateExtension vscode.json-language-features, startup: false, activationEvent: 'onLanguage:json'
2026-05-31 21:10:27.729 [info] ExtensionService#_doActivateExtension vscode.npm, startup: false, activationEvent: 'onLanguage:json'
2026-05-31 21:10:28.026 [info] ExtensionService#_doActivateExtension vscode.git-base, startup: true, activationEvent: '*'
2026-05-31 21:10:28.036 [info] ExtensionService#_doActivateExtension vscode.github, startup: true, activationEvent: '*'
2026-05-31 21:10:28.061 [info] Eager extensions activated
2026-05-31 21:10:28.073 [info] ExtensionService#_doActivateExtension vscode.debug-auto-launch, startup: false, activationEvent: 'onStartupFinished'
2026-05-31 21:10:28.075 [info] ExtensionService#_doActivateExtension vscode.merge-conflict, startup: false, activationEvent: 'onStartupFinished'
