2026-06-01 12:42:46.421 [info] Reading sessions from keychain...
2026-06-01 12:42:46.421 [info] Getting sessions for all scopes...
2026-06-01 12:42:46.493 [info] Got stored sessions!
2026-06-01 12:42:46.493 [info] Got 1 verified sessions.
2026-06-01 12:42:46.493 [info] Got 1 sessions for ...
2026-06-01 12:42:46.493 [info] Getting sessions for all scopes...
2026-06-01 12:42:46.493 [info] Got 1 sessions for ...
2026-06-01 12:42:46.493 [info] Getting sessions for all scopes...
2026-06-01 12:42:46.493 [info] Got 1 sessions for ...
2026-06-01 12:42:46.543 [info] Getting sessions for all scopes...
2026-06-01 12:42:46.543 [info] Got 1 sessions for ...
2026-06-01 12:42:48.147 [info] Getting sessions for all scopes...
2026-06-01 12:42:48.148 [info] Got 1 sessions for ...
2026-06-01 12:42:48.689 [info] FetcherService: Node fetch failed with status: 429 Too Many Requests
2026-06-01 12:42:48.692 [info] Unable to resolve optional EDU details. Status: 429 Too Many Requests
2026-06-01 12:44:47.811 [info] Getting sessions for all scopes...
2026-06-01 12:44:47.811 [info] Got 1 sessions for ...
2026-06-01 12:44:47.812 [info] Getting sessions for all scopes...
2026-06-01 12:44:47.812 [info] Got 1 sessions for ...
2026-06-01 12:44:52.821 [info] Getting sessions for all scopes...
2026-06-01 12:44:52.821 [info] Got 1 sessions for ...
2026-06-01 12:44:52.822 [info] Getting sessions for all scopes...
2026-06-01 12:44:52.822 [info] Got 1 sessions for ...
2026-06-01 12:45:51.984 [info] Getting sessions for all scopes...
2026-06-01 12:45:51.984 [info] Got 1 sessions for ...
2026-06-01 12:45:51.985 [info] Getting sessions for all scopes...
2026-06-01 12:45:51.985 [info] Got 1 sessions for ...
2026-06-01 12:46:07.832 [info] Getting sessions for all scopes...
2026-06-01 12:46:07.832 [info] Got 1 sessions for ...
2026-06-01 12:46:07.833 [info] Getting sessions for all scopes...
2026-06-01 12:46:07.833 [info] Got 1 sessions for ...
2026-06-01 12:46:10.194 [info] Getting sessions for all scopes...
2026-06-01 12:46:10.194 [info] Got 1 sessions for ...
2026-06-01 12:46:10.195 [info] Getting sessions for all scopes...
2026-06-01 12:46:10.195 [info] Got 1 sessions for ...
2026-06-01 12:46:14.434 [info] Getting sessions for all scopes...
2026-06-01 12:46:14.434 [info] Got 1 sessions for ...
2026-06-01 12:46:14.435 [info] Getting sessions for all scopes...
2026-06-01 12:46:14.435 [info] Got 1 sessions for ...
2026-06-01 12:46:16.707 [info] Getting sessions for all scopes...
2026-06-01 12:46:16.708 [info] Got 1 sessions for ...
2026-06-01 12:46:16.708 [info] Getting sessions for all scopes...
2026-06-01 12:46:16.709 [info] Got 1 sessions for ...
2026-06-01 12:46:20.932 [info] Getting sessions for all scopes...
2026-06-01 12:46:20.932 [info] Got 1 sessions for ...
2026-06-01 12:46:20.932 [info] Getting sessions for all scopes...
2026-06-01 12:46:20.932 [info] Got 1 sessions for ...
2026-06-01 12:46:27.462 [info] Getting sessions for all scopes...
2026-06-01 12:46:27.462 [info] Got 1 sessions for ...
2026-06-01 12:46:27.463 [info] Getting sessions for all scopes...
2026-06-01 12:46:27.463 [info] Got 1 sessions for ...
2026-06-01 12:47:27.721 [info] Getting sessions for all scopes...
2026-06-01 12:47:27.722 [info] Got 1 sessions for ...
2026-06-01 12:47:27.722 [info] Getting sessions for all scopes...
2026-06-01 12:47:27.722 [info] Got 1 sessions for ...
2026-06-01 12:48:19.868 [info] Getting sessions for all scopes...
2026-06-01 12:48:19.868 [info] Got 1 sessions for ...
2026-06-01 12:48:19.869 [info] Getting sessions for all scopes...
2026-06-01 12:48:19.869 [info] Got 1 sessions for ...
2026-06-01 12:49:29.143 [info] Getting sessions for all scopes...
2026-06-01 12:49:29.144 [info] Got 1 sessions for ...
2026-06-01 12:49:29.145 [info] Getting sessions for all scopes...
2026-06-01 12:49:29.145 [info] Got 1 sessions for ...
2026-06-01 12:49:52.305 [info] Getting sessions for all scopes...
2026-06-01 12:49:52.306 [info] Got 1 sessions for ...
2026-06-01 12:49:52.306 [info] Getting sessions for all scopes...
2026-06-01 12:49:52.306 [info] Got 1 sessions for ...
2026-06-01 12:50:40.155 [info] Getting sessions for all scopes...
2026-06-01 12:50:40.155 [info] Got 1 sessions for ...
2026-06-01 12:50:40.156 [info] Getting sessions for all scopes...
2026-06-01 12:50:40.156 [info] Got 1 sessions for ...
2026-06-01 12:51:09.486 [info] Getting sessions for all scopes...
2026-06-01 12:51:09.486 [info] Got 1 sessions for ...
2026-06-01 12:51:09.487 [info] Getting sessions for all scopes...
2026-06-01 12:51:09.487 [info] Got 1 sessions for ...
2026-06-01 12:51:10.578 [info] Getting sessions for all scopes...
2026-06-01 12:51:10.578 [info] Got 1 sessions for ...
2026-06-01 12:51:10.579 [info] Getting sessions for all scopes...
2026-06-01 12:51:10.580 [info] Got 1 sessions for ...
2026-06-01 12:53:34.594 [info] Getting sessions for all scopes...
2026-06-01 12:53:34.595 [info] Got 1 sessions for ...
2026-06-01 12:53:34.595 [info] Getting sessions for all scopes...
2026-06-01 12:53:34.595 [info] Got 1 sessions for ...
2026-06-01 12:54:00.962 [info] Getting sessions for all scopes...
2026-06-01 12:54:00.962 [info] Got 1 sessions for ...
2026-06-01 12:54:00.964 [info] Getting sessions for all scopes...
2026-06-01 12:54:00.964 [info] Got 1 sessions for ...
2026-06-01 12:54:23.973 [info] Getting sessions for all scopes...
2026-06-01 12:54:23.973 [info] Got 1 sessions for ...
2026-06-01 12:54:23.973 [info] Getting sessions for all scopes...
2026-06-01 12:54:23.973 [info] Got 1 sessions for ...
2026-06-01 12:55:14.747 [info] Getting sessions for all scopes...
2026-06-01 12:55:14.747 [info] Got 1 sessions for ...
2026-06-01 12:55:14.773 [info] Getting sessions for all scopes...
2026-06-01 12:55:14.773 [info] Got 1 sessions for ...
2026-06-01 12:55:51.656 [info] Getting sessions for all scopes...
2026-06-01 12:55:51.656 [info] Got 1 sessions for ...
2026-06-01 12:55:51.657 [info] Getting sessions for all scopes...
2026-06-01 12:55:51.657 [info] Got 1 sessions for ...
2026-06-01 12:55:58.207 [info] Getting sessions for all scopes...
2026-06-01 12:55:58.207 [info] Got 1 sessions for ...
2026-06-01 12:55:58.208 [info] Getting sessions for all scopes...
2026-06-01 12:55:58.208 [info] Got 1 sessions for ...
2026-06-01 12:56:20.078 [info] Getting sessions for all scopes...
2026-06-01 12:56:20.078 [info] Got 1 sessions for ...
2026-06-01 12:56:20.078 [info] Getting sessions for all scopes...
2026-06-01 12:56:20.078 [info] Got 1 sessions for ...
2026-06-01 13:00:32.597 [info] Getting sessions for all scopes...
2026-06-01 13:00:32.597 [info] Got 1 sessions for ...
2026-06-01 13:00:32.598 [info] Getting sessions for all scopes...
2026-06-01 13:00:32.598 [info] Got 1 sessions for ...
2026-06-01 13:00:39.812 [info] Getting sessions for all scopes...
2026-06-01 13:00:39.812 [info] Got 1 sessions for ...
2026-06-01 13:00:39.813 [info] Getting sessions for all scopes...
2026-06-01 13:00:39.813 [info] Got 1 sessions for ...
2026-06-01 13:01:28.761 [info] Getting sessions for all scopes...
2026-06-01 13:01:28.761 [info] Got 1 sessions for ...
2026-06-01 13:01:28.762 [info] Getting sessions for all scopes...
2026-06-01 13:01:28.762 [info] Got 1 sessions for ...
2026-06-01 13:01:50.660 [info] Getting sessions for all scopes...
2026-06-01 13:01:50.660 [info] Got 1 sessions for ...
2026-06-01 13:01:50.661 [info] Getting sessions for all scopes...
2026-06-01 13:01:50.661 [info] Got 1 sessions for ...
2026-06-01 13:02:56.843 [info] Getting sessions for all scopes...
2026-06-01 13:02:56.843 [info] Got 1 sessions for ...
2026-06-01 13:02:56.844 [info] Getting sessions for all scopes...
2026-06-01 13:02:56.844 [info] Got 1 sessions for ...
2026-06-01 13:04:21.857 [info] Getting sessions for all scopes...
2026-06-01 13:04:21.857 [info] Got 1 sessions for ...
